latent_id,activation,lemma,present_phones,past_phones
0,0.1026686280965805,coiffe,K OY F,K OY F T
2,1.1781418323516846,encapsulate,EH N K AE P S AH L EY T,EH N K AE P S AH L EY T IH D
2,1.1473240852355957,backtrack,B AE K T R AE K,B AE K T R AE K T
2,1.1394991874694824,encompass,EH N K AH M P AH S,EH N K AH M P AH S T
2,1.1306135654449463,incarcerate,IH N K AA R S ER EY T,IH N K AA R S ER EY T IH D
2,1.1268459558486938,incapacitate,IH N K AH P AE S IH T EY T,IH N K AH P AE S IH T EY T IH D
2,1.1006814241409302,inculcate,IH NG K AH L K EY T,IH NG K AH L K EY T AH D
2,1.0964789390563965,decompose,D IY K AH M P OW Z,D IY K AH M P OW Z D
2,1.095363974571228,sacrifice,S AE K R AH F AY S,S AE K R AH F AY S T
2,1.0938143730163574,decapitate,D IY K AE P AH T EY T,D IY K AE P AH T EY T IH D
2,1.081414818763733,anchor,AE NG K ER,AE NG K ER D
2,1.079982876777649,escalate,EH S K AH L EY T,EH S K AH L EY T IH D
2,1.0755585432052612,circuit,S ER K AH T,S ER K AH T IH D
2,1.073504090309143,yoke,Y OW K,Y OW K T
2,1.0703279972076416,wick,W IH K,W IH K AH D
2,1.06988525390625,decaffeinate,D IY K AE F AH N EY T,D IY K AE F AH N EY T IH D
2,1.069743037223816,work,W ER K,W ER K T
2,1.0680580139160156,whack,W AE K,W AE K T
2,1.0670841932296753,wax,W AE K S,W AE K S T
2,1.0655337572097778,cockey,K AA K IY,K AA K AY D
2,1.0641019344329834,ricochet,R IH K AH SH EY,R IH K AH SH EY D
2,1.063663125038147,nick,N IH K,N IH K T
2,1.0635290145874023,recover,R IH K AH V ER,R AH K AH V ER D
2,1.063156008720398,pocket,P AA K AH T,P AA K AH T IH D
2,1.0620869398117065,nix,N IH K S,N IH K S T
2,1.0620869398117065,outcast,AW T K AE S T,AW T K AE S T
2,1.0619693994522095,rocket,R AA K AH T,R AA K AH T IH D
2,1.0619367361068726,ascribe,AH S K R AY B,AH S K R AY B D
2,1.0617737770080566,circumcise,S ER K AH M S AY Z,S ER K AH M S AY Z D
2,1.0606790781021118,dock,D AA K,D AA K T
2,1.0597857236862183,cock,K AA K,K AA K T
2,1.059525966644287,recap,R IY K AE P,R IY K AE P T
2,1.0595203638076782,encase,EH N K EY S,EH N K EY S T
2,1.058982014656067,euchre,Y UW K ER,Y UW K ER D
2,1.0581912994384766,ask,AE S K,AE S K T
2,1.0579841136932373,seek,S IY K,S AO T
2,1.0576986074447632,kick,K IH K,K IH K T
2,1.057539939880371,sock,S AA K,S AA K T
2,1.057159662246704,psyche,S AY K IY,S AY K T
2,1.0565402507781982,doctor,D AA K T ER,D AA K T ER D
2,1.056280493736267,vaccinate,V AE K S AH N EY T,V AE K S AH N EY T IH D
2,1.0560022592544556,percolate,P ER K AH L EY T,P ER K AH L EY T IH D
2,1.054306983947754,coax,K OW K S,K OW K S T
2,1.0541763305664062,incorporate,IH N K AO R P ER EY T,IH N K AO R P ER EY T IH D
2,1.0537358522415161,wake,W EY K,W OW K
2,1.0536317825317383,dictate,D IH K T EY T,D IH K T EY T IH D
2,1.0522950887680054,soak,S OW K,S OW K T
2,1.0516142845153809,sac,S AE K,S AE K T
2,1.0516142845153809,sack,S AE K,S AE K T
2,1.0512515306472778,neck,N EH K,N EH K T
2,1.050646185874939,decorate,D EH K ER EY T,D EH K ER EY T IH D
2,1.0500673055648804,mechanize,M EH K AH N AY Z,M EH K AH N AY Z D
2,1.049817681312561,bicker,B IH K ER,B IH K ER D
2,1.0496351718902588,encounter,IH N K AW N T ER,IH N K AW N T ER D
2,1.0477826595306396,circulate,S ER K Y AH L EY T,S ER K Y AH L EY T IH D
2,1.0473542213439941,sucker,S AH K ER,S AH K ER D
2,1.0472822189331055,become,B IH K AH M,B IH K EY M
2,1.046194076538086,localize,L OW K AH L AY Z,L OW K AH L AY Z D
2,1.045701503753662,tick,T IH K,T IH K T
2,1.0455442667007446,deck,D EH K,D EH K T
2,1.045383095741272,circle,S ER K AH L,S ER K AH L D
2,1.044638991355896,recur,R IH K ER,R IY K ER D
2,1.0446194410324097,walk,W AO K,W AO K T
2,1.044587254524231,recapture,R IY K AE P CH ER,R IY K AE P CH ER D
2,1.0444121360778809,mock,M AA K,M AA K T
2,1.044304609298706,peak,P IY K,P IY K T
2,1.044304609298706,pique,P IY K,P IY K T
2,1.0442397594451904,fixate,F IH K S EY T,F IH K S EY T IH D
2,1.04423189163208,incur,IH N K ER,IH N K ER D
2,1.0440688133239746,duck,D AH K,D AH K T
