activation,lemma,present_phones,past_phones
0.5343596935272217,simulcast,S AY M Y AH L K AE S T,S AY M Y AH L K AE S T
0.5147016644477844,distribute,D IH S T R IH B Y UW T,D IH S T R IH B Y AH T AH D
0.49204736948013306,extract,EH K S T R AE K T,EH K S T R AE K T IH D
0.475319504737854,discriminate,D IH S K R IH M AH N EY T,D IH S K R IH M AH N EY T IH D
0.47118866443634033,castigate,K AE S T AH G EY T,K AE S T AH G EY T IH D
0.46066761016845703,miscalculate,M IH S K AE L K Y AH L EY T,M IH S K AE L K Y AH L EY T IH D
0.4539620280265808,abstract,AE B S T R AE K T,AE B S T R AE K T IH D
0.4434688687324524,extrapolate,EH K S T R AE P AH L EY T,EH K S T R AE P AH L EY T IH D
0.4259287118911743,disenfranchise,D IH S IH N F R AE N CH AY Z,D IH S IH N F R AE N CH AY Z D
0.424868643283844,captivate,K AE P T IH V EY T,K AE P T IH V EY T IH D
0.4177747964859009,dislocate,D IH S L OW K EY T,D IH S L OW K EY T IH D
0.40838301181793213,vociferate,V AH S IH F ER EY T,V AH S IH F ER EY T IH D
0.39596372842788696,incinerate,IH N S IH N ER EY T,IH N S IH N ER EY T IH D
0.39262861013412476,extricate,EH K S T R AH K EY T,EH K S T R AH K EY T IH D
0.3841969966888428,disincline,D IH S IH N K L AY N,D IH S IH N K L AY N D
0.3837295174598694,decelerate,D IH S EH L ER EY T,D IH S EH L ER EY T IH D
0.380504310131073,instruct,IH N S T R AH K T,IH N S T R AH K T AH D
0.3702535629272461,distress,D IH S T R EH S,D IH S T R EH S T
0.36821943521499634,departmentalize,D IH P AA R T M EH N T AH L AY Z,D IH P AA R T M EH N T AH L AY Z D
0.36656075716018677,cast,K AE S T,K AE S T
0.3616597056388855,compliment,K AA M P L AH M EH N T,K AA M P L AH M EH N T IH D
0.35845887660980225,dismantle,D IH S M AE N T AH L,D IH S M AE N T AH L D
0.35072678327560425,disinvite,D IH S IH N V AY T,D IH S IH N V AY T IH D
0.35048943758010864,disassociate,D IH S AH S OW SH IY EY T,D IH S AH S OW SH IY EY T AH D
0.349679172039032,coast,K OW S T,K OW S T IH D
0.3484761118888855,costume,K AA S T UW M,K AO S T UW M D
0.3480406403541565,communicate,K AH M Y UW N AH K EY T,K AH M Y UW N AH K EY T IH D
0.3475841283798218,disclose,D IH S K L OW Z,D IH S K L OW Z D
0.341877281665802,excuse,IH K S K Y UW S,IH K S K Y UW Z D
0.3391215205192566,contract,K AA N T R AE K T,K AA N T R AE K T AH D
0.3379915952682495,reciprocate,R IH S IH P R AH K EY T,R IH S IH P R AH K EY T IH D
0.33698171377182007,rescue,R EH S K Y UW,R EH S K Y UW D
0.33034366369247437,cost,K AA S T,K AA S T
0.32951968908309937,destroy,D IH S T R OY,D IH S T R OY D
0.32620298862457275,populate,P AA P Y AH L EY T,P AA P Y AH L EY T IH D
0.32611894607543945,postulate,P AA S CH AH L EY T,P AA S CH AH L EY T IH D
0.32483673095703125,ameliorate,AH M IY L Y ER EY T,AH M IY L Y ER EY T IH D
0.3221840262413025,exhume,EH K S HH Y UW M,EH K S HH Y UW M D
0.31981486082077026,deceive,D IH S IY V,D IH S IY V D
0.3195551633834839,accelerate,AE K S EH L ER EY T,AE K S EH L ER EY T IH D
0.3170602321624756,mischaracterize,M IH S K AE R AH K T ER AY Z,M IH S K AE R AH K T ER AY Z D
0.3164101839065552,castrate,K AE S T R EY T,K AE S T R EY T IH D
0.31421345472335815,contribute,K AH N T R IH B Y UW T,K AH N T R IH B Y UW T IH D
0.30979132652282715,describe,D IH S K R AY B,D IH S K R AY B D
0.3075350522994995,deteriorate,D IH T IH R IY ER EY T,D IH T IH R IY ER EY T IH D
0.306810200214386,extol,IH K S T OW L,IH K S T OW L D
0.30664098262786865,supervise,S UW P ER V AY Z,S UW P ER V AY Z D
0.30628901720046997,undervalue,AH N D ER V AE L Y UW,AH N D ER V AE L Y UW D
0.30563026666641235,outstrip,AW T S T R IH P,AW T S T R IH P T
0.3035081624984741,popularize,P AA P Y AH L ER AY Z,P AA P Y AH L ER AY Z D
0.30285656452178955,abbreviate,AH B R IY V IY EY T,AH B R IY V IY EY T IH D
0.2986084222793579,cascade,K AE S K EY D,K AE S K EY D IH D
0.29723161458969116,distinguish,D IH S T IH NG G W IH SH,D IH S T IH NG G W IH SH T
0.295437753200531,dispatch,D IH S P AE CH,D IH S P AE CH T
0.28565120697021484,misspeak,M IH S S P IY K,M IH S S P OW K
0.2824785113334656,excoriate,EH K S K AO R IY EY T,EH K S K AO R IY EY T IH D
0.2804447412490845,mishandle,M IH S HH AE N D AH L,M IH S HH AE N D AH L D
0.27313530445098877,deplore,D IH P L AO R,D IH P L AO R D
0.27241039276123047,desegregate,D IH S EH G R AH G EY T,D IH S EH G R IH G EY T IH D
0.2666047215461731,cashier,K AE SH IH R,K AE SH IH R D
0.2587008476257324,aspire,AH S P AY R,AH S P AY R D
0.23185227811336517,quote,K W OW T,K W OW T IH D
0.21523426473140717,quilt,K W IH L T,K W IH L T IH D
